id,admitted,test_score,ap,avg_ap,sat_subjects,gpa,female,minority,international,sports,school,early_app,alumni,program,add_info
W796LITIP9,1,2400,3,5,3,3.9,0,0,0,0,Harvard,0,1,,
WL2QRZQ8X3,1,2400,7,5,2,4,1,0,0,0,Harvard,0,1,chemistry biology,Tennis 3 years varsity Science Olympiad 3 years member 1 year captain Theater 2 plays Debate team 4 years member 3 years officer Orientation 3 years member 2 years co head Yale Book Award National Merit Scholar AP Scholar with Distinction Cum Laude Society Junior Year Multiple state Science Olympiad medals Multiple debate tournament awards
WE2YXF12K5,1,2400,1,5,1,4,1,0,0,0,Harvard,0,0,fjdslkfj,skljdkljkjsdkljfdlklj kljdsfd
OC717EAKXN,1,2400,5,5,5,4,1,0,0,0,Harvard,0,0,Mathematics,
WQVYFGMWO5,1,2400,2,5,2,4,1,1,0,0,Harvard,0,0,Engineering,President of Junior Engineering Technical Society and National Honors Society Other Siemens Westinghouse and Intel STS scholar National Merit Scholarship winner Other I was accepted in all 11 univeristies including Franklin W Olin College of Engineering a new small innovative and tuition free school in Boston which is not listed The most important factor is to build a qualitative broad based CV in academics leadership activities and community service SAT and GPA are helpful but the essays and recommendations including interview with alum make all the difference There is no point submitting cookie cutter or overly dressed up essays It takes time and pain to write sincere factual and meaningful essays for each college to understand personality of each college and then to make them realize that you really know who you are why you will fit into that college s cultural and academic environment how you will contribute etc
M7N81T7L91,0,2400,7,5,4,3.84,0,1,0,0,Harvard,0,0,Physics,
YWF3FCF26L,1,2400,1,5,1,3.5,0,0,0,0,Harvard,0,0,Biology,asdfasdfasdf
K7P9ISOGBB,1,2400,5,5,4,4,0,0,1,0,Harvard,0,0,Biochemistry or Bioengineering,President or VP or equivalent of about six involved in about ten plus a job in technology and a research position at a medical schoolToo many to list here but several prestigious national level and state level ones were includedInterviews stellar except Harvard more bad luck there than anything
9VTSRHHL9F,1,2400,0,0,5,3.8,0,0,1,0,Harvard,0,0,Economics,
B2VVE8QW6I,0,2400,0,0,0,4,0,0,0,0,Harvard,1,0,,
G2L1I5YV97,1,2400,6,4.833333333,4,4,0,1,0,0,Harvard,1,0,Humanities,
96P7YHUWNY,1,2400,6,5,4,3.9,1,0,0,0,Harvard,1,0,Undecided,Newspaper Layout Editor 12 Section Editor 11 Writer 9 10 Yearbook Photo Editor 12 Photographer 9 11 Academic Quiz Bowl President 11 12 Member 9 10 Math Club President 12 Member 9 11 Literary Magazine Staff Editor and Contributor 9 12 Varsity Cross Country 11 12 Columbia SHP Program 10 11 Top 3 GPA Prize 3 years English Prize 9th grade AMC School Winner 10 AIME Qualifier 10 11 School Writing Competition Winner Latin Competition 3rd Place 10th grade Scholastic Writing Competition Regional Silver 10th Summers Business classes 9 Exchange program in France 10 Intern at investment firm 11 Published in essay anthology Prep for Prep
CLDGRLL1PC,0,2400,2,5,4,4,1,0,0,0,Harvard,0,0,Economics,Model UN Head Delegate sophomore year 2011 2012 2012 2013 Academic Super Bowl Math Social Studies Science 2010 2011 2012 2013 Economics Team 2012 2013 Science Olympiad 2011 2012 2012 2013 Chemistry Club 2012 2013 IU Simon Cancer Center Summer Volunteering Summer 2011 6 hrs week 5 weeksCarmel High School CLASS Award 2 Freshman Junior years for Honors Algebra II and AP Statistics respectively CHS Departmental Award 2 Sophomore year Honors Chemistry and AP European History ACS Chemistry Olympiad 3rd place regionals Academic Super Bowl Math Team 4th place state
YGY1XK3G7L,1,2400,7,4.571428571,6,4,1,1,0,0,Harvard,1,0,Biology,
LXNCNM8A1Z,0,2400,5,4.6,3,4,0,0,0,0,Harvard,0,0,Neuroscience Music,I am one of two editors in chief of my school newspaper and was the news editor in 10th and 11th grade I have played the cello for nine years am principal cellist in my school and I play in the local youth orchestra which is one of the best in the country I also conduct my high school orchestra The only sport I play is Ultimate Frisbee which I have only played competitively this year National Merit Scholar awarded 2500 to attend University of Chicago
ZEYEIZ561X,1,2400,0,0,0,4,0,0,0,0,Harvard,1,0,,
K0XHLRQKV4,0,2400,0,0,4,3.97,0,1,0,0,Harvard,0,0,Biology,Varsity soccer team captain President of American Red cross 600 hours of community service Active member for model UN and Key club UCSF scientific research and internship program fundraisier for Africa9th grade 1st position holder award 9th grade secondary section 1st position holder award Computer science completion award Maths and Science departmental awards summer school awards Tawekondo completion award I speak 5 languages just came from another country i am ethiopian I have take Biology Chemistry and Physics during my freshman year 
BDHLM7UVQM,1,2400,2,5,3,3.96,1,0,0,0,Harvard,1,0,English Psychology Neuroscience,
O6OFJOOTUM,0,2400,5,4.6,4,3.49,0,0,0,0,Harvard,0,0,Computational Biology Finance Computer Science,did math sports music volunteering work total time spent 40 hr wkap scholar with distinction national merit semifinalist lots of top 10 state lvl math competition finishesgpa negatively impacted by soph year magnet have shown a positive grade trend since then
FGHLDC9FP1,1,2400,3,5,4,4,1,1,0,0,Harvard,0,0,Chemistry Economics ,
IKPVC03EIK,0,2400,7,4.857142857,2,3.97,1,0,0,0,Harvard,0,0,Chemistry,
IKK4NQYKJE,1,2400,7,5,6,4,0,1,0,1,Harvard,0,1,Pre Law,
1DXDRXSQV4,0,2400,5,5,5,4,0,0,0,0,Harvard,0,0,Political Science,
8PR99CCPJT,0,2400,5,5,5,4,0,0,0,0,Harvard,0,0,Engineering,
FQF06FKKCP,1,2400,7,5,0,4,0,1,0,0,Harvard,0,0,,STUDENT COUNCIL 7 HOURS A WEEKSTUDENT OF THE YEAR HIGHST OVERALL GPA STAR STUDENT STUDENT OF THE MONTH THE DEANS AWARD
WRX77OCQX3,1,2400,0,0,3,2.45,0,0,0,1,Harvard,1,0,science,lots of stuff too much too list herenone sorrythats about it folks 
P9UC5DIBRE,1,2400,3,5,4,4,1,0,0,0,Harvard,0,0,Economics,Academic Decathlon Art Club project manager treasurer Biology Club secretary Mock Trial lead attorney Literary Magazine Staff Creative Writing Liberty Science Center Volunteer Work National Honor Society Tutoring Independent Tutoring DemiDec Resources Writing Beta Testing InternshipsAcademic Decathlon 1st individual team in state two seasons Scholastic Art Writing Awards Gold Key in Poetry URochester Frederick Douglass Susan B Anthony Award Rotary Youth Leadership Award AP Scholar National Merit Commendation Finalist for Governor s School on Public Issues Board of Ed Scholastic AwardNeeded significant financial aid
R6FSAO695P,0,2400,0,0,2,4,1,0,0,0,Harvard,0,0,Bioengineering,
6AGCX3I6QJ,1,2400,7,5,6,4,0,1,0,1,Harvard,0,0,Pre Medicine,
LV23MEPOIL,1,2400,6,5,0,4,0,0,0,0,Harvard,0,0,,
